driverId,week,hours-logged,miles-logged
89,25,77,2600
88,21,77,1900
97,34,65,3800
60,27,56,900
41,2,58,1500
42,47,54,900
108,20,68,1400
101,42,60,800
35,43,74,2100
40,27,51,1700
71,16,69,300
30,35,74,3400
77,38,56,700
85,5,59,1900
54,41,78,3100
66,33,79,2100
21,19,68,3100
89,6,76,3000
21,46,56,2300
10,7,74,3900
64,3,58,3500
63,21,53,800
70,1,58,1900
31,9,75,700
61,1,64,900
40,9,77,1600
83,24,80,200
67,40,71,2700
98,44,79,3600
45,25,52,100
35,27,69,2300
53,38,74,3900
36,35,56,3500
20,12,62,1800
10,31,52,1900
10,29,69,1500
97,27,59,2300
72,22,69,300
72,36,66,500
65,9,56,1000
65,32,50,400
53,45,51,800
26,51,58,2800
57,1,73,1000
94,52,59,1400
56,7,59,3800
23,31,67,1300
101,49,75,3600
80,27,56,200
98,45,71,2200
37,42,55,3700
43,32,76,2600
44,24,54,3600
56,20,68,1100
108,26,59,2900
60,36,68,3500
86,38,65,3500
44,36,76,600
42,1,70,2600
20,45,58,1500
53,37,63,200
54,7,58,400
64,35,78,2200
87,15,75,600
60,46,53,1300
42,30,69,600
13,8,62,1700
23,8,71,3200
25,16,65,2400
70,20,57,1600
68,7,63,3600
100,6,57,3100
52,49,51,2400
98,7,69,1700
66,39,70,900
12,43,68,1000
81,45,78,2500
27,6,74,200
67,44,73,500
64,46,69,2200
33,3,53,2800
11,35,78,1900
10,46,70,0
62,38,78,3800
81,39,72,2600
48,13,80,500
108,20,73,1400
88,29,75,1100
50,29,55,2900
70,1,79,1500
38,23,61,1500
77,28,66,3700
104,7,73,1400
23,27,79,2600
79,52,66,3700
25,28,67,900
80,1,66,4000
109,25,70,2500
62,7,54,2400
19,49,56,900
81,46,75,4000
50,9,77,2500
90,46,57,3200
35,14,59,3400
107,15,59,3400
51,38,75,3200
64,39,75,1200
62,29,74,4000
46,36,69,200
23,11,65,400
10,45,54,300
86,13,57,2000
36,11,76,1400
85,23,57,2000
55,14,69,1000
13,25,60,1400
74,22,54,700
102,33,72,1600
12,42,59,900
46,31,70,1700
66,26,75,1200
40,16,58,3000
16,45,71,1300
15,43,52,2500
71,45,60,3500
62,48,56,1100
25,6,72,3200
28,27,75,2800
108,19,64,1400
55,16,68,2500
72,10,71,2500
46,42,71,100
36,6,63,1000
24,4,67,1800
52,14,69,1500
20,6,71,300
89,44,58,2500
70,9,80,500
100,3,65,2100
16,49,56,800
50,41,74,3800
42,13,73,1600
51,41,61,500
95,48,55,2400
73,52,75,400
37,28,68,1900
56,25,57,3800
80,11,66,2500
70,34,78,1200
73,19,67,3000
48,25,60,800
61,5,59,2500
54,48,77,100
30,12,70,3200
34,15,78,2100
65,5,55,3500
104,10,79,100
83,29,73,2900
50,16,79,900
71,8,60,2100
45,38,61,1900
49,15,80,1300
14,38,65,900
34,41,77,2400
17,28,55,800
34,35,61,3400
34,46,71,2800
13,1,57,2100
21,21,77,4000
41,31,67,1400
79,29,77,400
28,33,51,2400
61,28,66,600
12,3,51,3600
20,24,60,3300
26,31,80,3900
87,15,74,1400
13,31,57,600
19,52,78,800
33,2,50,300
54,29,72,1200
19,33,74,3600
36,21,59,3400
76,2,56,1900
92,29,76,2100
104,24,58,1000
89,27,78,2200
83,18,75,3100
81,19,50,2000
40,47,67,900
88,18,74,0
51,51,58,2700
48,26,53,2200
60,43,69,1600
35,45,77,3800
81,5,56,2900
59,31,68,200
59,48,72,1400
105,39,70,2100
24,41,78,300
74,8,65,800
10,13,77,2100
14,13,76,300
21,20,73,1700
71,14,53,3500
98,10,65,1000
13,37,75,200
16,47,68,2800
22,33,64,3900
63,31,69,300
35,33,63,0
77,45,50,0
93,26,65,2900
11,17,66,1600
48,3,53,3900
99,52,57,3800
58,44,70,1400
81,10,54,0
47,31,57,3500
17,2,58,2000
24,45,73,600
26,34,61,1800
33,23,50,1700
67,24,77,3500
19,52,52,800
86,48,61,4000
31,45,67,300
70,2,60,3000
37,45,54,900
83,3,64,2700
85,52,80,600
96,1,76,100
56,51,58,4000
88,31,72,2300
52,20,52,3700
19,3,59,1100
30,34,80,2100
99,33,73,2600
77,10,80,300
81,37,58,3100
24,31,71,1700
50,29,77,2800
80,50,75,600
98,11,79,2800
31,39,75,3900
56,4,60,1300
66,11,53,1300
88,50,52,3400
70,24,53,4000
13,15,61,100
96,27,80,2400
46,29,59,1900
77,40,54,2600
87,30,67,3300
17,15,56,700
32,14,55,2500
104,52,65,1600
47,38,64,600
99,27,70,1200
104,4,53,2100
17,3,75,800
90,32,76,3600
50,37,70,1400
51,48,65,3000
87,31,75,3900
97,5,51,1100
75,51,53,3200
104,49,50,4000
15,19,61,3100
64,52,69,1800
88,4,69,0
43,14,66,2400
36,5,61,3600
27,41,58,900
24,34,66,800
20,6,62,3300
13,27,67,2800
26,5,72,3600
32,19,59,2700
12,18,69,300
58,3,67,1800
40,23,73,3700
11,3,79,3500
105,1,74,400
18,47,53,3700
77,12,55,600
25,9,77,3800
25,20,78,3800
18,12,60,2600
28,32,72,400
55,5,65,1000
42,32,80,1800
64,42,68,2500
81,6,51,3400
58,16,76,2900
47,9,53,800
19,1,75,3400
56,15,75,500
99,22,68,2400
92,27,59,1700
40,21,68,2100
39,44,71,3500
37,35,56,300
55,29,51,3200
83,19,79,300
74,37,77,1600
49,43,64,1400
20,49,63,1900
80,13,50,100
56,14,58,2500
49,38,72,3300
29,28,55,600
21,46,68,2200
71,12,69,1300
94,12,67,2400
45,9,75,0
25,12,61,300
41,41,75,2800
94,26,79,100
74,23,52,900
91,7,50,0
98,37,77,1000
59,31,68,2500
65,34,74,3200
105,19,57,3200
44,36,68,200
108,40,51,1000
41,36,73,3000
109,9,59,300
35,10,74,1700
18,14,56,3800
96,13,69,1000
60,34,74,2600
67,16,78,800
27,35,53,300
10,8,50,3000
77,41,60,2500
31,42,52,2200
27,45,56,3000
108,6,57,300
20,9,52,100
15,12,78,1800
59,33,75,2100
36,2,59,2600
11,34,53,2800
15,26,53,2700
17,32,75,900
101,22,74,2500
86,34,56,1700
51,25,57,2900
22,17,65,1100
54,38,59,1300
108,52,74,900
109,15,59,900
68,3,66,1300
12,44,77,2000
78,34,67,1600
27,5,53,1600
60,16,64,3700
14,34,64,200
10,52,57,3100
76,49,73,3500
109,12,68,2100
103,8,53,1000
56,26,80,1000
59,33,62,3400
32,23,56,1700
50,40,65,100
53,23,61,1200
49,6,51,1500
73,51,70,1400
45,42,61,1500
24,19,50,1100
81,29,64,3000
43,51,79,2200
93,27,78,1800
74,44,77,2300
76,18,54,2200
109,20,52,200
86,10,78,1800
107,24,59,0
64,11,65,3300
92,30,69,1100
27,3,68,700
92,19,78,3500
15,17,59,2500
90,2,67,100
76,24,67,2800
46,10,70,3400
25,33,60,3900
64,16,70,200
23,40,64,2400
12,9,52,1300
61,13,50,1300
56,15,80,3900
101,37,61,1700
91,29,66,1200
54,32,60,400
34,36,57,0
86,5,62,1200
102,51,66,3400
40,50,75,200
31,27,76,3000
45,17,56,2300
40,50,71,600
109,10,63,3800
96,25,71,900
61,50,64,4000
26,21,66,300
61,23,77,1600
66,4,61,3500
86,48,62,3600
32,21,77,4000
89,20,77,1100
89,47,64,200
85,31,68,900
85,47,51,3200
25,45,65,1300
30,16,71,2800
103,33,64,1900
26,40,80,1500
70,25,60,1200
44,6,73,3900
99,11,72,400
22,6,68,700
51,22,50,2100
98,23,66,1200
10,15,80,2900
75,22,63,1500
14,45,76,2500
11,44,69,1800
68,32,65,1400
21,39,74,3100
23,50,72,2900
31,4,68,2300
47,4,73,800
107,15,79,500
72,37,71,2800
74,31,51,4000
56,20,56,1400
82,45,79,0
26,25,78,500
22,17,58,300
71,43,59,3800
55,19,77,1900
70,23,51,1300
26,17,68,1100
45,45,67,300
88,21,67,2600
107,41,51,1000
18,48,53,800
50,48,68,3000
17,25,63,2900
82,51,61,2900
38,45,75,1200
79,47,80,3300
24,11,62,1200
100,17,75,4000
53,13,66,300
80,45,71,1500
102,47,64,3500
69,16,58,3700
22,31,60,900
48,43,63,1200
74,23,80,1400
85,44,54,400
26,14,72,200
34,7,69,2900
30,4,73,600
17,21,66,1500
10,51,50,2200
80,40,53,2900
73,21,76,3000
77,49,65,1200
106,52,57,3900
35,23,53,2300
51,31,75,3800
49,32,71,1600
74,42,77,3200
43,40,58,900
59,24,66,3400
105,40,57,300
54,30,61,2100
50,41,52,1400
35,39,67,600
107,25,59,2300
30,43,51,3300
17,45,64,2000
99,48,63,2100
92,11,73,1900
58,3,67,2900
95,6,71,3800
11,14,67,3500
86,38,60,1200
59,48,56,3900
63,27,51,3400
81,37,68,1700
101,8,63,3300
71,3,73,1100
61,27,78,1600
47,27,67,1300
45,49,79,1200
86,16,56,3300
107,32,68,700
44,47,50,600
97,10,60,600
83,36,75,500
27,19,51,500
60,26,56,1100
80,38,66,3600
34,2,78,1000
35,39,68,2400
87,23,57,1300
105,41,71,3500
101,4,71,4000
70,17,62,800
54,32,76,1800
87,43,52,3400
14,39,62,800
103,9,63,1300
68,34,65,200
106,12,61,3400
78,47,54,3200
22,1,65,1600
74,2,53,4000
53,24,55,1900
102,23,54,1300
78,44,59,2700
107,9,69,1600
99,39,78,2900
96,25,72,2300
105,26,53,3500
49,43,62,2300
73,12,54,1500
23,19,60,2000
40,31,51,3300
91,3,61,3200
34,3,71,1300
67,2,61,3500
65,42,64,2900
32,36,56,3800
46,37,62,2900
77,37,57,2600
63,27,61,1500
51,47,69,3100
62,31,58,1900
90,52,67,2100
13,5,63,0
74,27,52,400
61,25,72,2000
21,1,59,2600
93,49,56,0
104,42,58,2200
63,25,52,2900
53,28,75,100
30,15,77,800
48,45,52,300
108,32,69,2500
75,31,73,2500
60,52,66,2000
62,10,75,1700
34,15,54,2900
54,23,66,2600
36,13,73,1600
94,30,80,900
